Neighborhood,Id,PID,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Bsmt Qual,Bsmt Cond,BsmtFin Type 1,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Cars,Garage Area,Garage Qual,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice
GrnHill,2257.0,916253320.0,120.0,,9763.0,7.0,5.0,1998.0,1998.0,239.0,4.0,4.0,3.0,6.0,1102.0,72.0,328.0,1502.0,5.0,1.0,1502.0,0.0,0.0,1502.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,8.0,1.0,3.0,1998.0,1.0,286.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2007.0,330000.0
NridgHt,1249.6260869565217,528144611.5217391,60.869565217391305,85.74107142857143,11173.06956521739,8.217391304347826,5.0,2005.3565217391304,2005.7826086956522,320.04424778761063,4.3130434782608695,4.6173913043478265,3.0869565217391304,4.547826086956522,698.8086956521739,4.304347826086956,873.2,1576.3130434782609,4.956521739130435,1.0,1582.0,336.0,0.0,1918.0,0.6173913043478261,0.0,2.008695652173913,0.4260869565217391,2.7217391304347824,1.0,4.478260869565218,7.504347826086956,8.0,0.9652173913043478,3.7217391304347824,2005.4434782608696,2.6956521739130435,742.2173913043479,3.0,158.45217391304348,80.75652173913043,0.0,2.643478260869565,11.469565217391304,0.0,0.0,6.373913043478261,2007.7652173913043,311302.3304347826
NoRidge,1392.0666666666666,529199771.3333333,55.111111111111114,88.61764705882354,11532.68888888889,7.844444444444444,5.155555555555556,1995.6444444444444,1996.5111111111112,357.44444444444446,4.022222222222222,4.177777777777778,3.022222222222222,4.955555555555556,707.8444444444444,43.44444444444444,603.2222222222222,1354.5111111111112,4.933333333333334,1.0,1412.5555555555557,1004.1555555555556,0.0,2416.711111111111,0.6888888888888889,0.0,2.0,0.9333333333333333,3.5555555555555554,1.0,4.044444444444444,8.422222222222222,8.0,1.1333333333333333,3.2,1995.6666666666667,2.688888888888889,719.4888888888889,3.022222222222222,186.0888888888889,85.77777777777777,28.044444444444444,0.0,19.866666666666667,0.0,0.0,6.377777777777778,2007.6666666666667,305902.6222222222
StoneBr,1380.28125,527190159.53125,93.75,59.035714285714285,8714.40625,8.3125,5.09375,1997.5625,1997.8125,151.125,4.125,4.40625,3.15625,4.875,670.65625,41.71875,737.84375,1450.21875,4.625,1.0,1485.0625,343.0,0.0,1828.0625,0.6875,0.0,1.9375,0.375,2.34375,1.0,4.3125,6.6875,8.0,0.71875,2.75,1997.625,2.3125,581.59375,3.03125,134.90625,58.15625,24.125,5.25,30.03125,0.0,0.0,7.34375,2007.46875,289357.78125
Veenker,1559.0,533076220.625,63.75,67.83333333333333,14040.125,7.25,5.8125,1983.5625,1988.5,130.375,3.875,3.875,3.25,4.4375,876.4375,285.25,272.8125,1434.5,4.25,1.0,1555.75,239.5625,0.0,1795.3125,0.75,0.25,1.75,0.5625,2.3125,1.0,3.9375,6.25,7.5625,1.4375,3.1875,1983.5625,2.125,561.0625,3.0,170.6875,45.75,11.3125,15.9375,63.6875,50.0,0.0,5.5,2007.4375,245356.25
Timber,1660.5217391304348,917021497.3913044,35.21739130434783,78.5945945945946,11301.478260869566,7.282608695652174,5.217391304347826,1998.0434782608695,1999.0869565217392,181.13333333333333,3.869565217391304,4.239130434782608,3.0434782608695654,4.739130434782608,723.0434782608696,40.91304347826087,601.2826086956521,1365.2391304347825,4.717391304347826,1.0,1445.0,214.95652173913044,0.0,1659.9565217391305,0.6086956521739131,0.06521739130434782,1.9782608695652173,0.2826086956521739,2.847826086956522,1.0,4.021739130434782,6.913043478260869,7.934782608695652,0.717391304347826,2.5434782608695654,2002.5652173913043,2.3260869565217392,591.0434782608696,3.0217391304347827,124.80434782608695,70.08695652173913,7.956521739130435,0.0,9.369565217391305,0.0,54.34782608695652,5.739130434782608,2007.9130434782608,242602.19565217392
Somerst,1304.0692307692307,530386829.7307692,74.61538461538461,63.98290598290598,7510.723076923077,7.430769230769231,5.023076923076923,2004.753846153846,2005.0692307692307,143.85,4.0,4.161538461538462,3.0538461538461537,4.0,371.6307692307692,6.8,799.1307692307693,1177.5615384615385,4.938461538461539,1.0,1183.4769230769232,397.45384615384614,1.8461538461538463,1582.7769230769231,0.3923076923076923,0.0,1.9923076923076923,0.5461538461538461,2.5615384615384613,1.0,4.061538461538461,6.269230769230769,7.984615384615385,0.5153846153846153,1.8615384615384616,2004.8307692307692,2.2384615384615385,615.5153846153846,3.0076923076923077,69.4076923076923,97.4,1.8153846153846154,1.7230769230769232,4.7384615384615385,0.0,0.0,6.323076923076923,2007.823076923077,227183.9
ClearCr,1506.65,905285956.95,58.5,92.22222222222223,14206.8,6.2,5.5,1969.85,1981.3,77.15,3.35,3.7,3.0,3.8,521.3,293.05,359.7,1174.05,4.4,1.0,1316.6,411.7,7.0,1735.3,0.7,0.1,1.5,0.4,2.75,1.0,3.35,6.7,7.5,1.3,2.55,1971.35,1.75,488.5,3.05,221.4,43.95,43.7,0.0,35.1,0.0,0.0,6.15,2007.9,209115.0
Crawfor,1803.9718309859154,909534264.5915493,60.63380281690141,69.27272727272727,11667.732394366198,6.253521126760563,6.380281690140845,1947.7042253521126,1980.7042253521126,66.01428571428572,3.352112676056338,3.464788732394366,2.971830985915493,3.380281690140845,475.07042253521126,55.267605633802816,519.3661971830986,1049.7042253521126,4.042253521126761,0.9295774647887324,1264.338028169014,434.71830985915494,5.408450704225352,1704.4647887323943,0.39436619718309857,0.1267605633802817,1.5352112676056338,0.352112676056338,2.915492957746479,1.0422535211267605,3.5211267605633805,6.802816901408451,7.76056338028169,1.1971830985915493,3.323943661971831,1958.9577464788733,1.6619718309859155,423.38028169014086,2.9295774647887325,68.14084507042253,28.098591549295776,54.15492957746479,12.070422535211268,32.15492957746479,3.211267605633803,61.971830985915496,6.619718309859155,2007.6338028169014,205901.21126760563
CollgCr,1735.1685393258426,907081027.752809,41.79775280898876,70.89473684210526,10249.5,6.707865168539326,5.207865168539326,1998.561797752809,1999.7640449438202,90.37853107344633,3.741573033707865,3.9775280898876404,3.044943820224719,4.359550561797753,486.5842696629214,27.724719101123597,641.0112359550562,1155.3202247191011,4.775280898876405,1.0,1174.4775280898875,340.1011235955056,0.0,1514.5786516853932,0.4887640449438202,0.016853932584269662,1.7696629213483146,0.47752808988764045,2.837078651685393,1.0056179775280898,3.848314606741573,6.353932584269663,7.977528089887641,0.4101123595505618,1.3202247191011236,1998.9943820224719,2.0898876404494384,573.376404494382,3.00561797752809,125.02247191011236,54.943820224719104,3.5,2.1853932584269664,7.533707865168539,0.0,36.51685393258427,6.095505617977528,2007.6179775280898,203381.45505617978
